Lung'Ie (Principense),Portugues,Tipo,Uso IA
saka-udôdô,saka-udôdô.,Vocabulario,Dicionário
kiringa,filhote de macaco         Espécie de formiga,Vocabulario,Dicionário
kokovadu,corcovado (Caranx        swaswa n. cf. kobo-ufya,Vocabulario,Dicionário
taanha,tainha,Vocabulario,Dicionário
kuvina,corvina,Vocabulario,Dicionário
"boi
   kwê",peixe-coelho,Vocabulario,Dicionário
dêkê,de que                        sôvê v. chover,Vocabulario,Dicionário
kiima,clima                           ventenha 1. n. gravana; 2. n.,Vocabulario,Dicionário
manya,maneirar,Vocabulario,Dicionário
dôdôsu,ambos,Vocabulario,Dicionário
faata,falta,Vocabulario,Dicionário
gaani,grande,Vocabulario,Dicionário
keba,quebrar,Vocabulario,Dicionário
kôli,forma,Vocabulario,Dicionário
novu,novo,Vocabulario,Dicionário
rêdê,arder,Vocabulario,Dicionário
riku,rico,Vocabulario,Dicionário
e tava sa          Santome,kuxi da mi fa. Naani ki tava ka kuxi. N tava ka gogo     São Tomé,Vocabulario,Dicionário
valê,valer,Vocabulario,Dicionário
vedadi,verdade,Vocabulario,Dicionário
vêvê,viver,Vocabulario,Dicionário
xintxi,sentir,Vocabulario,Dicionário
zagwa,azagoa.,Vocabulario,Dicionário
"o Príncipe
     bôbô-fiitu",bôbô-fiitu. Doce de banana        muzenge n. muzenge. Prato típico de,Vocabulario,Dicionário
"São Tomé
     bwêbwê",bwêbwê. Prato típico                  obobo n. obobo. Prato típico elaborado,Vocabulario,Dicionário
pintadu,Refeição de arroz com feijão,Vocabulario,Dicionário
fyan-izêtxi,fyan-izêtxi. Prato típico da,Vocabulario,Dicionário
ranxu-te,rancho da terra. Prato,Vocabulario,Dicionário
"e óleo de palma
     fyoji",fyoji. Prato típico elaborado,Vocabulario,Dicionário
senge,senge. Prato típico elaborado à,Vocabulario,Dicionário
sôwô,sôwô. Prato típico feito à base,Vocabulario,Dicionário
ifigbô,ifigbô. Prato típico elaborado,Vocabulario,Dicionário
em folha            ufundi,ufundi. Prato típico à base de,Vocabulario,Dicionário
"a ou mandioca
     kadaadu","escaldado. Prato típico              ufundi-maakita, ufundi-maagita",Vocabulario,Dicionário
caldo de,ufundi-maakita. Prato típico elaborado,Vocabulario,Dicionário
"eros da terra
     kufungu",kufungu. Prato típico,Vocabulario,Dicionário
"milho cozida
     makunga",makunga. Doce típico feito,Vocabulario,Dicionário
"ananeira
     môyô-kangadu",môyô-kangadu. Prato,Vocabulario,Dicionário
ufôgu,molho no fogo. Prato,Vocabulario,Dicionário
baana-umpan,banana-pão,Vocabulario,Dicionário
bôbôdu,maduro                  mantximentu n. mantimentos,Vocabulario,Dicionário
byê,cozinhar na água             moladu adj. amassado,Vocabulario,Dicionário
febenta,aferventar               ovu n. ovo,Vocabulario,Dicionário
febentadu,cozido               paya n. palha,Vocabulario,Dicionário
fenza-kukundya,feijão            pesu n. custo,Vocabulario,Dicionário
podê,podre,Vocabulario,Dicionário
fiji,fritar                      pôlôvô n. polvo,Vocabulario,Dicionário
poxi,capacidade,Vocabulario,Dicionário
ranxu-Ie,rancho do Príncipe.,Vocabulario,Dicionário
ginhan,galinha                   Prato tradicional elaborado,Vocabulario,Dicionário
"ma
                  impin",pinha,Vocabulario,Dicionário
rompê,em abundância,Vocabulario,Dicionário
ize-izêtxi,izaquente de azeite,Vocabulario,Dicionário
sanu,escolher,Vocabulario,Dicionário
ize-kukundya,izaquente,Vocabulario,Dicionário
sukê,açúcar,Vocabulario,Dicionário
ize-sukê,izaquente de açúcar     ufya-maxkan n. folha mosquito,Vocabulario,Dicionário
kaada,escaldar,Vocabulario,Dicionário
ufya-mikoko,folha de micocó,Vocabulario,Dicionário
kanela,canela,Vocabulario,Dicionário
upa-usuda,pau-pimenta,Vocabulario,Dicionário
kootadu,cortado,Vocabulario,Dicionário
urôsu-Ie,arroz do Príncipe,Vocabulario,Dicionário
kutu,engrossar,Vocabulario,Dicionário
usami,óssame (Afromonum,Vocabulario,Dicionário
kuutu,"curto                    danielli, Aframomum",Vocabulario,Dicionário
kwaa,coar                        melegueta),Vocabulario,Dicionário
lava,lavar,Vocabulario,Dicionário
"VOCABULÁRIO
  dini",cf. dinixi              riman 1. n. irmã; 2. n. irmão,Vocabulario,Dicionário
inhanxi,sim                  Rôdrigi ant. Rodrigo,Vocabulario,Dicionário
têêxi,três,Vocabulario,Dicionário
toka,tratar,Vocabulario,Dicionário
madô,esperto,Vocabulario,Dicionário
"tio
  mana",irmã,Vocabulario,Dicionário
"um
  manu",irmão,Vocabulario,Dicionário
myê,mulher                     2. adv. um por um,Vocabulario,Dicionário
pazê,prazer                    upuru 1. interj. nossa!;,Vocabulario,Dicionário
pwe,pai                        2. n. fezes,Vocabulario,Dicionário
babudu,barbudo,Vocabulario,Dicionário
makaku,manga­,Vocabulario,Dicionário
bika,bica,Vocabulario,Dicionário
baata,barba­-de­,Vocabulario,Dicionário
marapyan,unha­-preta,Vocabulario,Dicionário
gigô,glicô,Vocabulario,Dicionário
môlombi,amendoim,Vocabulario,Dicionário
igbêtê,bordão­-de­-São-José,Vocabulario,Dicionário
môsan,erva­-cacho (Paspalum,Vocabulario,Dicionário
muba,fedegoso,Vocabulario,Dicionário
ikpene,urtiga,Vocabulario,Dicionário
musafi,musafi,Vocabulario,Dicionário
ikpêtê,bordão­-de­-São-José,Vocabulario,Dicionário
musan,azeda­-da­-Guiné,Vocabulario,Dicionário
jibôa,jimboa (Amaranthus          (Hibiscus acetosella),Vocabulario,Dicionário
musanda,musanda (Ficus,Vocabulario,Dicionário
baabu,café­-do­-mato        annobonensis),Vocabulario,Dicionário
kalipitu,eucalipto                musan­-impin n. batata­-pim­-pim,Vocabulario,Dicionário
kanafixtula,cássia­-oficinal      (Peponium vogelii),Vocabulario,Dicionário
kaki,mãe­-de­-caqui,Vocabulario,Dicionário
karamujo,caramujo                 (Myripristis jacobus),Vocabulario,Dicionário
kosa,comigo­-ninguém­       nona­-konxa n. araticum­-da­-praia,Vocabulario,Dicionário
usan,coração­-do­-chão     olosaka n. jiló,Vocabulario,Dicionário
ôrôrô,canga,Vocabulario,Dicionário
kukumba,saltão                    oso­-moli n. oso­-moli (Uraspis,Vocabulario,Dicionário
mwê,come­-morre             otaji n. otaji (Gongronema,Vocabulario,Dicionário
lembalemba,lembalemba             oyobo n. noz­-moscada,Vocabulario,Dicionário
"ca
                   libô",libô (Vernonia               pega­-pega n. picão preto,Vocabulario,Dicionário
fugia,mamona,Vocabulario,Dicionário
bilanza,dama­-da-noite,Vocabulario,Dicionário
bentu,samambaia,Vocabulario,Dicionário
txintxin,txintxin (Stegastes,Vocabulario,Dicionário
omi,folha­-de­-igreja,Vocabulario,Dicionário
alimanha,coentro           (Pneumatopteris oppositifolia),Vocabulario,Dicionário
amiso,ufya­-amiso          ufya­-gêêza­-zuden n. samambaia,Vocabulario,Dicionário
azêdinha,"azedinha          ufya­-gôgô n. gôgô, andiroba",Vocabulario,Dicionário
bambi,chile branco         (Carapa procera),Vocabulario,Dicionário
bengi,"bengue (Alchornea    ufya­-gôgô­-vêmê n. gôgô,",Vocabulario,Dicionário
boba,begônia ampla         (Amaranthus caudatus);,Vocabulario,Dicionário
vêmê,begônia         ukpaka n. casca,Vocabulario,Dicionário
bolelega,beldroega­,Vocabulario,Dicionário
budu,folha­-pedra,Vocabulario,Dicionário
urya,ufya­-d’urya,Vocabulario,Dicionário
fakêza,vassourinha­-doce,Vocabulario,Dicionário
fitxisu,saia­-roxa,Vocabulario,Dicionário
fôgêtê,folha­-foguete,Vocabulario,Dicionário
alêgia,alegria,Vocabulario,Dicionário
ariba,capim,Vocabulario,Dicionário
atonomya,Atonomya Ie*                                                         autonomia,Vocabulario,Dicionário
ya vintxi            baasa,abraçar,Vocabulario,Dicionário
beetu,aberto,Vocabulario,Dicionário
lu wo            dizasetxi,dezessete,Vocabulario,Dicionário
ki            dizasêy,dezesseis,Vocabulario,Dicionário
dizawêtu,dezoito,Vocabulario,Dicionário
finansêw,Uvôdô sê sa muvimenta Ie ki gôxtô ki alêgia pô ningê tudu di         financeiro,Vocabulario,Dicionário
guupu         govena,governar,Vocabulario,Dicionário
inu,hino,Vocabulario,Dicionário
a musa ya te        katôzê,quatorze,Vocabulario,Dicionário
Na         kunjuntu,conjunto,Vocabulario,Dicionário
kuturali,cultural,Vocabulario,Dicionário
kwatu,quatro,Vocabulario,Dicionário
lutu,luta,Vocabulario,Dicionário
muvimenta,movimentar,Vocabulario,Dicionário
onze,onze,Vocabulario,Dicionário
pimyô,primeiro,Vocabulario,Dicionário
ponta,ponta,Vocabulario,Dicionário
pujisan,posição,Vocabulario,Dicionário
tansa,calcar,Vocabulario,Dicionário
vêêdê,verde,Vocabulario,Dicionário
xinku,cinco,Vocabulario,Dicionário
zulu,azul,Vocabulario,Dicionário
"VOCABULÁRIO
        batê",bater                    nota n. nota,Vocabulario,Dicionário
dêpôji,depois               poova n. prova,Vocabulario,Dicionário
divididu,dividido           rizu 1. adj. duro; 2. adj. rijo,Vocabulario,Dicionário
kinji,quinze                sêsenta num. sessenta,Vocabulario,Dicionário
komesa,começar                setxi num. sete,Vocabulario,Dicionário
levi,leve                   txya v. tirar,Vocabulario,Dicionário
matximatxika,matemática       vêzi n. vezes,Vocabulario,Dicionário
aja vida ki sawidi,haja vida    da fogan expr. cavar buraco para,Vocabulario,Dicionário
batê ubuka,coaxar                  da fôkôtô 1. expr. teimar;,Vocabulario,Dicionário
batê uman,bater palmas             2. expr. espancar,Vocabulario,Dicionário
bensa ô,a bênção!               da ka fini expr. dar cambalhota,Vocabulario,Dicionário
bii agama,fazer espacate           da keba 1. expr. gargalhar;,Vocabulario,Dicionário
bii gô,começar a chorar,Vocabulario,Dicionário
e                da kidarê,gritar por socorro,Vocabulario,Dicionário
bii idintxi ngeeeeen,ficar      da kô dêsê 1. expr. melhorar;,Vocabulario,Dicionário
bii mintxya,contar mentiras     da kôkô expr. dar batidas,Vocabulario,Dicionário
bii mya,escancarar,Vocabulario,Dicionário
da konsê,aconselhar,Vocabulario,Dicionário
bii redya,fugir de,Vocabulario,Dicionário
da kôôkô,gritar,Vocabulario,Dicionário
bii txyô,começar a              da kooni 1. expr. trair;,Vocabulario,Dicionário
bii ubaaku,cavar                da kunfyansa 1. expr. dar,Vocabulario,Dicionário
bii xiivisu,começar a,Vocabulario,Dicionário
bôbô minu,colocar uma,Vocabulario,Dicionário
bôlô kura,esfregar remédio,Vocabulario,Dicionário
bôlô pwede,pintar a,Vocabulario,Dicionário
da abôtô,abortar,Vocabulario,Dicionário
da bofetan,bater,Vocabulario,Dicionário
"O
                   alunu",aluno                  ukampu n. campo,Vocabulario,Dicionário
anu,ano                      utximu adj. último,Vocabulario,Dicionário
bowsa,bolsa de estudos       xigi v. continuar,Vocabulario,Dicionário
deximu,décimo              Xina top. China,Vocabulario,Dicionário
dina,desde                xtudu n. estudo,Vocabulario,Dicionário
ferya,férias,Vocabulario,Dicionário
gan,ganhar,Vocabulario,Dicionário
govenu,governo,Vocabulario,Dicionário
inkwantu,enquanto,Vocabulario,Dicionário
kaaxi,classe,Vocabulario,Dicionário
kinhentu,quinhentos,Vocabulario,Dicionário
Kuba,Cuba,Vocabulario,Dicionário
kwalke,qualquer,Vocabulario,Dicionário
lisêw,liceu,Vocabulario,Dicionário
munsan,época,Vocabulario,Dicionário
Natali,Natal,Vocabulario,Dicionário
nzami,exame,Vocabulario,Dicionário
oso,roça,Vocabulario,Dicionário
padran,padrão,Vocabulario,Dicionário
Pala Lavi,escola Paula,Vocabulario,Dicionário
Paxkwa,Páscoa,Vocabulario,Dicionário
pilha,muito,Vocabulario,Dicionário
rejyonali,regional,Vocabulario,Dicionário
San Zwakin,São Joaquim,Vocabulario,Dicionário
Santu Kixtu,Santo Cristo,Vocabulario,Dicionário
setximu,sétimo,Vocabulario,Dicionário
setxisentu,setecentos,Vocabulario,Dicionário
sêxtu,sexto,Vocabulario,Dicionário
Sundi,Sundy,Vocabulario,Dicionário
Taywan,Taiwan,Vocabulario,Dicionário
luzir   seku bôrôrô,INDF.DES; 3. pro. INDF.OD;                                     sequíssimo,Vocabulario,Dicionário
môrô,mouro,Vocabulario,Dicionário
Sonlensu,musa v. mostrar,Vocabulario,Dicionário
r               Piku Paage,Pico              ukuru adj. escuro,Vocabulario,Dicionário
"Papagaio
  keka",forma reduzida                                         xemi 1. v. desaparecer;,Vocabulario,Dicionário
vika                 pôkê,porque                 2. v. sumir,Vocabulario,Dicionário
kyensê,esquecer    ropa n. roupa                     xipika v. explicar,Vocabulario,Dicionário
da mali,falar mal                 dêsu kize 1. expr. até amanhã;,Vocabulario,Dicionário
da ôzen,ajoelhar,Vocabulario,Dicionário
dêsu paga,obrigado,Vocabulario,Dicionário
da pazuma,ficar inerte,Vocabulario,Dicionário
di rêpentê,de repente,Vocabulario,Dicionário
da pedan,perdoar,Vocabulario,Dicionário
dya dya,com o passar,Vocabulario,Dicionário
da reva,aborrecer,Vocabulario,Dicionário
da tabwe,ser difícil,Vocabulario,Dicionário
da tapona,bater                   2. expr. fofocar; 3. expr. mexericar,Vocabulario,Dicionário
da topi,tropeçar                  fê favô 1. expr. por favor;,Vocabulario,Dicionário
da ubuka,conversar                2. expr. faz favor,Vocabulario,Dicionário
fê fora,cf. fêzê fora,Vocabulario,Dicionário
fê poxta,apostar,Vocabulario,Dicionário
fê vogyan,envergonhar,Vocabulario,Dicionário
da urya,ouvir alguém              fêzê anu expr. fazer aniversário,Vocabulario,Dicionário
da vaa,chicotear                  fêzê bôrôrô expr. fazer tudo,Vocabulario,Dicionário
fêzê fora,defecar,Vocabulario,Dicionário
da vunga,balançar,Vocabulario,Dicionário
dêsê ôtô,conversar,Vocabulario,Dicionário
almirantxi,almirante          mata v. matar,Vocabulario,Dicionário
arê,rei                       mwê v. morrer,Vocabulario,Dicionário
alão                 mwêru,mouro,Vocabulario,Dicionário
batalha,lutar                 Olivêru ant. Oliveiro,Vocabulario,Dicionário
Bergonha           peezu,preso,Vocabulario,Dicionário
butxiza,batizar               rôzôvê v. resolver,Vocabulario,Dicionário
deeja,desejar                 seka v. cercar,Vocabulario,Dicionário
dizanovi,dezenove           sekulu n. século,Vocabulario,Dicionário
Ferebraz           supada,espada,Vocabulario,Dicionário
fika,ficar                    Txiloli n. Txiloli,Vocabulario,Dicionário
fisa,encerrar                 txyan di adv. além de,Vocabulario,Dicionário
Floripes            txyatu,teatro,Vocabulario,Dicionário
vensê,vencer,Vocabulario,Dicionário
s                 xigintxi,seguinte,Vocabulario,Dicionário
kavalêw,cavaleiro             xikudu n. escudo,Vocabulario,Dicionário
kaza,casar,Vocabulario,Dicionário
kixtan,cristão,Vocabulario,Dicionário
konsê,conhecer,Vocabulario,Dicionário
kontu,conto,Vocabulario,Dicionário
kôôtê,corte do Auto,Vocabulario,Dicionário
kunxigi,conseguir,Vocabulario,Dicionário
kutwa,cultura,Vocabulario,Dicionário
lansa,lança,Vocabulario,Dicionário
luta,lutar,Vocabulario,Dicionário
"VOCABULÁRIO
  Bôa Xpêransa",Boa        mene v. ser doce,Vocabulario,Dicionário
patran,patrão,Vocabulario,Dicionário
fuuta,fruta               sekadô n. secador,Vocabulario,Dicionário
ixila,aquele            seku adj. seco,Vocabulario,Dicionário
kakaw,cacau               tudu pe expr. tudo,Vocabulario,Dicionário
kaxi-gaani,casa­-grande   ukuru din expr. muito escuro,Vocabulario,Dicionário
kidita,acreditar          xila pro. aquilo,Vocabulario,Dicionário
"O
  Ideofones
  baa fefefe","brilhar muito         kentxi zuzuzu, kyentxi zuzuzu",Vocabulario,Dicionário
baanku fenene,muito              expr. muito quente,Vocabulario,Dicionário
a           limpu penepene,muito,Vocabulario,Dicionário
"limpo

  beetu wan",muito aberto           limpu pyenepyene expr. cf.,Vocabulario,Dicionário
mwadu potopoto,muito,Vocabulario,Dicionário
"molhado
  danadu kotokoto",muito            novu petepete expr. muito novo,Vocabulario,Dicionário
peetu gbin,muito preto,Vocabulario,Dicionário
fedi sônôsônô,muito fedido       peetu pi expr. muito preto,Vocabulario,Dicionário
efefe            pemya wan,manhã muito,Vocabulario,Dicionário
"limpu
  finu lekeleke",muito fino,Vocabulario,Dicionário
"penepene
  fyô kôkôkô",muito frio,Vocabulario,Dicionário
"unôtxi pi
  keba zegezege",estilhaçar         potopoto 1. ideo. cf. mwadu,Vocabulario,Dicionário
"potopoto
  kitxi tololo",muito pequeno,Vocabulario,Dicionário
seku kparara,muito seco,Vocabulario,Dicionário
sendê byororo,estender,Vocabulario,Dicionário
kubi petepete,tempo,Vocabulario,Dicionário
sera tententen,cheirar bem,Vocabulario,Dicionário
kyensê bôrôrô,esquecer,Vocabulario,Dicionário
swa potopoto,muito suado        unôtxi pi expr. noite cerrada,Vocabulario,Dicionário
taadi petepete,muito tarde      usolu tantan expr. sol muito forte,Vocabulario,Dicionário
ve ketekete,muito velho,Vocabulario,Dicionário
vêêdê petepete,muito verde,Vocabulario,Dicionário
têêmê gidigidi,tremer muito,Vocabulario,Dicionário
vêmê bababa,muito,Vocabulario,Dicionário
têêmê tatata,tremer muito       vermelho,Vocabulario,Dicionário
a tententen    vêmê barara,cf. vêmê rarara,Vocabulario,Dicionário
tezadu ton,muito tensionado     vêmê rarara expr. muito vermelho,Vocabulario,Dicionário
ufôgu tantan,fogo muito forte,Vocabulario,Dicionário
ukuru kaynkayn,muito escuro,Vocabulario,Dicionário
umatu jigijigi,floresta densa,Vocabulario,Dicionário
"CABULÁRIO
       Atlantiku",lonji adj. longe        relatividadi,Vocabulario,Dicionário
Oceano Atlântico,relatividade,Vocabulario,Dicionário
atura,altura            2. n. homem             sêlu n. selo,Vocabulario,Dicionário
axtronomiku,metedi 1. n. meio;      tantu adv. tanto,Vocabulario,Dicionário
tentu,tentativa,Vocabulario,Dicionário
bota,sair               noventa num.,Vocabulario,Dicionário
txyô,quintal,Vocabulario,Dicionário
Inglate,noventa,Vocabulario,Dicionário
txyôria,teoria,Vocabulario,Dicionário
novesentu,kêê v. acreditar           novecentos              udêntu adv. dentro,Vocabulario,Dicionário
tu                     oba,obra             ukwatu n. lado,Vocabulario,Dicionário
"sol
       kilometu",observação,Vocabulario,Dicionário
vijya,vigiar,Vocabulario,Dicionário
ose,céu              xuxadadi,Vocabulario,Dicionário
klipixi,eclipse,Vocabulario,Dicionário
palexta,palestra     n. sociedade,Vocabulario,Dicionário
kômêmôrasan,comemoração             Pinxipi top. Príncipe,Vocabulario,Dicionário
"VOCABULÁRIO
  avyan",avião                     Paa Baana top. Praia Banana,Vocabulario,Dicionário
Belu Montxi,Belo Monte        Paa d’Eva top. Praia Évora,Vocabulario,Dicionário
san,cf. same,Vocabulario,Dicionário
txisêru,terceiro,Vocabulario,Dicionário
diimi,dormir,Vocabulario,Dicionário
ukampu-avyan,aeroporto,Vocabulario,Dicionário
vapô,barco,Vocabulario,Dicionário
voota,volta,Vocabulario,Dicionário
kintu,quinto                  serviço,Vocabulario,Dicionário
kize,queria                     yew n. ilhéu,Vocabulario,Dicionário
"ríncipe
   Paa Belu Montxi",Praia Belo Monte           Paa Magarida top. Praia Margarida,Vocabulario,Dicionário
Paa Bumbu,Praia Abelha                     Paa Makaku top. Praia Macaco,Vocabulario,Dicionário
Paa Bura,Praia Burra                       Paa Ôryô Santome top. Praia Rio de,Vocabulario,Dicionário
"São Tomé
   Paa Gaani",Praia Grande,Vocabulario,Dicionário
Paa Saagada,Praia Salgada,Vocabulario,Dicionário
Paa Gaani Sulu,Praia Grande Sul,Vocabulario,Dicionário
Paa Seka,Praia Seca,Vocabulario,Dicionário
Paa Jênêrali Fonseka,Praia General,Vocabulario,Dicionário
Paa Sundi,Praia Sundy,Vocabulario,Dicionário
Paa Kasan,Praia Caixão                     Paa Têtuuga top. Praia Tartaruga,Vocabulario,Dicionário
Paa Kazu,Praia Caju                        Paa Ubadê top. Praia Abade,Vocabulario,Dicionário
Paa Kêtê,Praia Pequena                     Paa Uva top. Praia Uva,Vocabulario,Dicionário
Paa Lapa,Praia Lapa                        Paa Xyaba top. Praia Xyaba,Vocabulario,Dicionário
Paa Maa Kwaa,Praia Maria Correia,Vocabulario,Dicionário
"RIO
                   sun",cf. sume                        sulu n. sul,Vocabulario,Dicionário
arya,areia                          turixta n. turista,Vocabulario,Dicionário
Bombon,Bombom                     ubuka n. beira,Vocabulario,Dicionário
brita,pedra                         umundu n. mundo,Vocabulario,Dicionário
dawa,coco                           upa n. árvore,Vocabulario,Dicionário
finu,fino                         vulukan n. vulcão,Vocabulario,Dicionário
firya,arrefecer,Vocabulario,Dicionário
"r
                   goosu",grosso,Vocabulario,Dicionário
ibi,carvão,Vocabulario,Dicionário
intêru,inteiro,Vocabulario,Dicionário
kalô,calor,Vocabulario,Dicionário
kukundya,coco,Vocabulario,Dicionário
limpu,limpo,Vocabulario,Dicionário
maaka,tipo,Vocabulario,Dicionário
Novu Dixtxinu,Novo,Vocabulario,Dicionário
Paa Bwa,Praia Burra,Vocabulario,Dicionário
Paa Ubwê,Praia Boi,Vocabulario,Dicionário
Paanha,Prainha,Vocabulario,Dicionário
rodyadu,rodeado,Vocabulario,Dicionário
"r
                   segwa",segurar,Vocabulario,Dicionário
subi,subir,Vocabulario,Dicionário
"ULÁRIO
         biblyoteka",biblioteca                 matabisu 1. n. matabicho;,Vocabulario,Dicionário
daka,trazer,Vocabulario,Dicionário
"ueno almoço
         fenza",feijão                          miga n. amiga,Vocabulario,Dicionário
gaava,goiaba                          nda v. andar,Vocabulario,Dicionário
izêtxi,azeite                         pesa v. emprestar,Vocabulario,Dicionário
kadeenu,caderno                       teempi n. panela tradicional,Vocabulario,Dicionário
livu,livro                            zêtu n. jeito,Vocabulario,Dicionário
ostentar    konta ope,andar na ponta dos pés,Vocabulario,Dicionário
kôôsê pêxi,escalar peixe,Vocabulario,Dicionário
kubi upa,defender uma causa,Vocabulario,Dicionário
fêzê migu,fazer amigos                    kume awa 1. expr. embriagar-se;,Vocabulario,Dicionário
fêzê mixtura,misturar                     2. expr. beber álcool,Vocabulario,Dicionário
fêzê mosa,exibir-se. Expressão            kume idintxi 1. expr. rilhar os dentes;,Vocabulario,Dicionário
"zangar-se
      fêzê omi",exibir-se. Expressão usada       kutu kumê expr. engrossar a comida,Vocabulario,Dicionário
kwa fala,o que há de novo?,Vocabulario,Dicionário
fêzê reparu,reparar                       kwê ki 1. expr. espantar-se; 2. expr. brigar,Vocabulario,Dicionário
"ralhar
      fêzê umatu",defecar                        kwê lenta expr. correr para dentro,Vocabulario,Dicionário
"e cassa
      fika ki dêsu",fique com Deus!,Vocabulario,Dicionário
kwê manda,por que,Vocabulario,Dicionário
fika panapana,ficar fraco,Vocabulario,Dicionário
fu txubun,cair dentro d’água              2. expr. perseguir,Vocabulario,Dicionário
gbene uê,piscar os olhos                  kyê d’ôkyê expr. perder a posição em,Vocabulario,Dicionário
guli ôtô,engolir fazendo barulho          um emprego,Vocabulario,Dicionário
kaani vya,dar cambalhotas,Vocabulario,Dicionário
kadyadu da vese,dar errado,Vocabulario,Dicionário
"ar um pio
      kala ubuka",calar a boca,Vocabulario,Dicionário
"ixo
      keba kitxi-kitxi",estilhaçar,Vocabulario,Dicionário
keba winiwini,estilhaçar,Vocabulario,Dicionário
kensê bôrôrô,esquecer tudo,Vocabulario,Dicionário
kyenta kaseda,beber,Vocabulario,Dicionário
arte   odenamentu,ordenamento,Vocabulario,Dicionário
agikutwa,agricultura          pêêdêw n. pedreiro,Vocabulario,Dicionário
baa ?a,de uma só vez        pêzêdentê n. presidente,Vocabulario,Dicionário
bankêw,banqueiro              pintôru n. pintor,Vocabulario,Dicionário
dêputadu,deputado             pixkadô n. pescador,Vocabulario,Dicionário
dôtô,médico                   repatxisan n. repartição,Vocabulario,Dicionário
fêêw,ferreiro                 ruma v. compor,Vocabulario,Dicionário
fêzêdô,fazedor                seketaryu n. secretário,Vocabulario,Dicionário
finansa,finanças              sembleya n. assembleia,Vocabulario,Dicionário
fisu,ofício                   sosiali adj. social,Vocabulario,Dicionário
fomasan,curso                 têsêdô n. tecedor,Vocabulario,Dicionário
infimêw,enfermeiro            ukperi n. ukperi. Cesto,Vocabulario,Dicionário
infomatxiku,técnico de,Vocabulario,Dicionário
vyantêw,vinhateiro,Vocabulario,Dicionário
injiêw,engenheiro             xoferi n. motorista,Vocabulario,Dicionário
ise,esteira tradicional,Vocabulario,Dicionário
jonalixta,jornalista,Vocabulario,Dicionário
kanalizadô,encanador,Vocabulario,Dicionário
kapintêw,carpinteiro,Vocabulario,Dicionário
komexyantxi,comerciante,Vocabulario,Dicionário
kôvêw,coveiro,Vocabulario,Dicionário
kunjêw,cozinheiro,Vocabulario,Dicionário
kunxtusan,construção,Vocabulario,Dicionário
kuusu,curso,Vocabulario,Dicionário
kuxtumadu,acostumado,Vocabulario,Dicionário
kwadô,coador,Vocabulario,Dicionário
kwe,colher,Vocabulario,Dicionário
lêtxixixta,eletricista,Vocabulario,Dicionário
lifyatxi,alfaiate,Vocabulario,Dicionário
limpadô,limpador,Vocabulario,Dicionário
maxinêw,marceneiro,Vocabulario,Dicionário
mekaniku,mecânico,Vocabulario,Dicionário
nwese,concha de coco,Vocabulario,Dicionário
"VOCABULÁRIO
      abya",rio                         mani v. lavar roupa,Vocabulario,Dicionário
dinixi,então                   ne expr. né,Vocabulario,Dicionário
dwa,doer                         ufaka n. faca,Vocabulario,Dicionário
fêmêra,enfermeira                xipitali n. hospital,Vocabulario,Dicionário
"ferida
      fôfôdu",inflamado,Vocabulario,Dicionário
fumadu,defumado,Vocabulario,Dicionário
igbê,corpo,Vocabulario,Dicionário
koota,cortar,Vocabulario,Dicionário
kumi nho,lugar nenhum,Vocabulario,Dicionário
kura,remédio,Vocabulario,Dicionário
kuratxivu,curativo,Vocabulario,Dicionário
kadê,folha­-da­-fortuna (Kalanchoe pinnatum),Vocabulario,Dicionário
kikitxi,ufya­-kata­-kikitxi,Vocabulario,Dicionário
landê,simão­-correia (Lagenaria breviflora),Vocabulario,Dicionário
madê,mastruço (Chenopodium ambrosioides),Vocabulario,Dicionário
makabali,erva­-de­-colégio (Elephantopus mollis),Vocabulario,Dicionário
bêbê,malêbêbê,Vocabulario,Dicionário
malixa,folha­-malícia (Mimosa pudica),Vocabulario,Dicionário
manjôlô,manjôlô,Vocabulario,Dicionário
mawva,malva (Abutilon grandiflorum),Vocabulario,Dicionário
pinikanu,cordão­-de­-frade (Leonotis nepetifolia),Vocabulario,Dicionário
pôôkô,folha­-porco (Commelina congesta),Vocabulario,Dicionário
santope,eufórbia (Euphorbia hirta),Vocabulario,Dicionário
sôfi,melão­-de­-São­-Caetano (Momordica charantia),Vocabulario,Dicionário
tximija,natruja (Artemisia vulgaris),Vocabulario,Dicionário
ugalu,heliotrópio­-indiano (Heliotropium indicum),Vocabulario,Dicionário
ugêdê,ufya­-ugêdê,Vocabulario,Dicionário
pobê,agulha­-de­-pobre,Vocabulario,Dicionário
vintê,folha­-vintém (Desmodium adscendens),Vocabulario,Dicionário
zaya,ufya­-zaya (Cassia podocarpa),Vocabulario,Dicionário
untwe,untwe (Chrysophyllum albidum),Vocabulario,Dicionário
alikasi,acácia,Vocabulario,Dicionário
fita,pau­-sabão (Dracaena arborea),Vocabulario,Dicionário
gofi,embaúba (Cecropia peltata),Vocabulario,Dicionário
kwêdanu,pau­-fede (Celtis gomphophylla),Vocabulario,Dicionário
saban,pau­-sabão (Dracaena arborea),Vocabulario,Dicionário
ufew,pau­-ferro (Margaritaria discoidea),Vocabulario,Dicionário
ugêgê,cajazeira,Vocabulario,Dicionário
viru,upa­-viru,Vocabulario,Dicionário
vinka,atum­-judeu (Katsuwonus pelamis),Vocabulario,Dicionário
